X1,X2,X3,X4,X5,X6,X7,X8,class
19.80000000,14.00000000,1019.60000000,8.40000000,9.90000000,15.90000000,28.90000000,14.00000000,1
26.80000000,22.20000000,1006.20000000,8.10000000,10.90000000,19.00000000,34.00000000,21.00000000,1
34.60000000,32.90000000,1004.60000000,3.90000000,13.80000000,22.00000000,36.00000000,33.10000000,2
26.40000000,21.50000000,1006.90000000,8.00000000,18.70000000,30.10000000,39.90000000,16.00000000,2
14.70000000,7.90000000,1009.90000000,8.10000000,14.10000000,22.00000000,21.00000000,9.00000000,1
30.60000000,22.70000000,1015.10000000,12.60000000,9.30000000,17.10000000,42.10000000,19.00000000,1
37.20000000,30.20000000,1012.20000000,10.70000000,8.10000000,17.10000000,50.00000000,30.90000000,1
36.30000000,30.10000000,1002.80000000,9.70000000,6.00000000,17.10000000,43.00000000,30.90000000,1
14.90000000,10.80000000,1025.60000000,8.00000000,19.80000000,26.00000000,32.00000000,7.00000000,1
10.40000000,5.30000000,1039.90000000,4.80000000,14.70000000,19.00000000,12.90000000,9.00000000,1
15.30000000,12.00000000,1038.90000000,2.60000000,9.20000000,10.10000000,19.90000000,9.00000000,2
17.80000000,11.90000000,1030.40000000,9.20000000,6.60000000,10.10000000,24.10000000,10.00000000,2
19.70000000,13.60000000,1019.10000000,11.80000000,5.00000000,10.10000000,37.00000000,10.90000000,1
23.90000000,20.80000000,1016.40000000,4.30000000,5.10000000,10.10000000,34.00000000,15.10000000,1
36.70000000,36.40000000,1003.80000000,1.00000000,6.60000000,15.00000000,39.00000000,34.00000000,2
18.40000000,12.50000000,1022.80000000,7.80000000,18.70000000,26.00000000,35.10000000,9.00000000,1
7.00000000,-0.10000000,1032.40000000,9.60000000,10.70000000,22.00000000,18.00000000,1.00000000,1
17.80000000,11.90000000,1018.30000000,7.50000000,10.10000000,22.90000000,23.00000000,10.00000000,1
8.50000000,-0.80000000,1031.40000000,8.50000000,12.70000000,22.00000000,16.00000000,0.00000000,1
10.20000000,2.70000000,1032.00000000,6.90000000,13.50000000,22.00000000,17.10000000,6.10000000,1
10.40000000,6.60000000,1023.80000000,5.30000000,9.70000000,15.90000000,18.00000000,1.90000000,2
4.80000000,-0.60000000,1030.10000000,4.40000000,7.20000000,10.10000000,19.00000000,-5.10000000,2
28.80000000,28.20000000,1018.60000000,0.90000000,9.70000000,18.10000000,34.00000000,19.90000000,2
6.40000000,0.70000000,1031.60000000,5.40000000,18.00000000,22.00000000,18.00000000,0.00000000,2
2.80000000,-2.80000000,1039.00000000,4.90000000,14.20000000,18.10000000,7.00000000,1.00000000,1
8.20000000,3.30000000,1032.60000000,8.10000000,10.00000000,13.00000000,17.10000000,3.00000000,1
18.60000000,14.80000000,1018.00000000,4.10000000,9.30000000,26.00000000,19.90000000,16.00000000,2
9.00000000,4.80000000,1021.80000000,3.50000000,22.10000000,31.10000000,18.00000000,1.90000000,1
-2.50000000,-9.80000000,1041.60000000,11.50000000,10.90000000,13.00000000,1.90000000,-8.00000000,1
-2.60000000,-11.80000000,1032.20000000,14.90000000,12.10000000,22.90000000,12.00000000,-11.00000000,1
12.10000000,6.80000000,1020.70000000,10.80000000,7.80000000,13.00000000,30.90000000,3.90000000,1
10.40000000,3.90000000,1029.10000000,11.40000000,8.30000000,17.10000000,21.00000000,0.00000000,1
1.30000000,-5.90000000,1032.50000000,9.10000000,11.00000000,17.10000000,15.10000000,-7.10000000,1
22.30000000,18.50000000,1017.20000000,5.10000000,10.30000000,15.90000000,25.00000000,10.90000000,2
5.60000000,0.20000000,1020.80000000,5.50000000,9.70000000,12.00000000,16.00000000,-5.10000000,1
18.10000000,14.50000000,1016.90000000,4.70000000,9.00000000,15.90000000,28.00000000,10.90000000,2
19.30000000,16.20000000,1013.60000000,8.10000000,11.50000000,22.00000000,28.90000000,9.00000000,2
20.90000000,15.60000000,1008.70000000,10.90000000,9.70000000,17.10000000,36.00000000,9.00000000,1
23.30000000,18.00000000,1007.50000000,14.20000000,12.80000000,26.00000000,34.00000000,14.00000000,1
17.70000000,10.50000000,1018.50000000,12.50000000,6.60000000,17.10000000,39.00000000,6.10000000,1
